epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1859.34,0.97338,1.40816,1.19526,0.722,0.6716,0.72763,0.51562,1.0329,1.14583,1.18337,0.000138115,0.000138115,0.000138115
2,3786.34,1.08468,1.26492,1.27897,0.66723,0.537,0.59773,0.39221,1.18779,1.38246,1.32769,0.00024968,0.00024968,0.00024968
3,5669.19,1.16277,1.35383,1.3459,0.62677,0.51969,0.55863,0.35807,1.23926,1.44786,1.35683,0.000333724,0.000333724,0.000333724
4,7943.06,1.15856,1.31895,1.34836,0.63762,0.50978,0.55588,0.351,1.25065,1.46554,1.39155,0.000293151,0.000293151,0.000293151
5,9644.86,1.14043,1.22249,1.33361,0.67541,0.57024,0.6213,0.41322,1.19925,1.31487,1.34567,0.000251868,0.000251868,0.000251868
6,11406.5,1.07123,1.07786,1.28291,0.71054,0.62821,0.68588,0.4652,1.14402,1.12986,1.29121,0.000210585,0.000210585,0.000210585
7,13203.5,1.00509,0.95641,1.23234,0.73257,0.62233,0.6855,0.46826,1.13764,1.12347,1.27862,0.000169302,0.000169302,0.000169302
8,15000,0.96227,0.84426,1.19557,0.7605,0.63927,0.72251,0.5032,1.08958,1.03623,1.24005,0.000128019,0.000128019,0.000128019
9,16800.5,0.90289,0.7444,1.15445,0.78713,0.67873,0.75943,0.53594,1.05776,0.93559,1.21267,8.6736e-05,8.6736e-05,8.6736e-05
10,18611.2,0.85505,0.67146,1.12537,0.77601,0.70868,0.77518,0.55404,1.04213,0.89966,1.19748,4.5453e-05,4.5453e-05,4.5453e-05
