epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,264.94,1.01318,1.85958,1.85003,1.10825,0,0.43741,0.51555,0.49667,0.31906,0.45741,0.52482,0.50569,0.3196,1.14744,2.33835,2.21296,1.21891,0,0.000549627,0.000549627,0.000549627
2,574.197,1.15904,1.92945,1.46773,1.17677,0,0.41845,0.43631,0.3675,0.23384,0.43659,0.44521,0.37177,0.23187,1.20492,2.70815,2.27358,1.36915,0,0.00108341,0.00108341,0.00108341
3,839.532,1.2671,1.89211,1.55618,1.27425,0,0.85769,0.33654,0.42061,0.26348,0.8624,0.33556,0.42805,0.27525,1.35983,2.69823,2.31881,1.48645,0,0.00159519,0.00159519,0.00159519
4,1088.35,1.25111,1.8992,1.45237,1.23217,0,0.48155,0.49619,0.45201,0.28801,0.53028,0.48249,0.45714,0.29451,1.20562,1.97269,1.67556,1.31938,0,0.00156798,0.00156798,0.00156798
5,1359.11,1.19443,1.90652,1.36143,1.2298,0,0.49766,0.46059,0.48884,0.31138,0.82305,0.39666,0.477,0.32313,1.20682,2.09798,1.9359,1.27718,0,0.00153497,0.00153497,0.00153497
6,1615.46,1.12366,1.68122,1.23058,1.16268,0,0.54404,0.55397,0.54227,0.3456,0.61189,0.49664,0.54827,0.35747,1.18231,1.84761,1.19858,1.24329,0,0.00150197,0.00150197,0.00150197
7,1886.33,1.1532,1.73569,1.23216,1.1845,0,0.51943,0.52904,0.49298,0.3327,0.52874,0.52489,0.47964,0.31329,1.14141,1.91857,1.46026,1.2293,0,0.00146896,0.00146896,0.00146896
8,2124.96,1.1281,1.58566,1.13322,1.1642,0,0.57726,0.58388,0.56388,0.36587,0.57261,0.57739,0.54835,0.36505,1.13147,1.76376,1.32899,1.24274,0,0.00143595,0.00143595,0.00143595
9,2367.43,1.13754,1.7192,1.15354,1.17745,0,0.53561,0.61039,0.53659,0.37896,0.62363,0.54215,0.55642,0.3768,1.03581,1.70573,1.2836,1.14361,0,0.00140295,0.00140295,0.00140295
10,2608,1.05505,1.57399,1.08484,1.131,0,0.63341,0.51002,0.56669,0.37371,0.62611,0.5492,0.5714,0.35893,1.05495,1.71757,1.19276,1.16513,0,0.00136994,0.00136994,0.00136994
11,2849.55,0.98928,1.53062,1.02719,1.09889,0,0.7292,0.5419,0.62778,0.41928,0.75604,0.55592,0.63618,0.41093,1.09668,1.78345,1.00208,1.20471,0,0.00133693,0.00133693,0.00133693
12,3096.55,1.0143,1.61082,1.04043,1.1135,0,0.63324,0.59094,0.61805,0.41039,0.64818,0.59334,0.62417,0.41825,1.05743,1.67044,1.02336,1.16561,0,0.00130393,0.00130393,0.00130393
13,3479.01,1.05075,1.55136,1.00135,1.11536,0,0.61857,0.60874,0.61448,0.41042,0.59504,0.61362,0.61014,0.39471,1.02711,1.60775,1.01484,1.16987,0,0.00127092,0.00127092,0.00127092
14,3804.1,1.01443,1.48267,0.98493,1.12789,0,0.63868,0.59047,0.58483,0.40533,0.64196,0.58984,0.59704,0.39285,1.02763,1.62604,1.05121,1.15572,0,0.00123791,0.00123791,0.00123791
15,4112.72,1.02843,1.54074,0.97653,1.13254,0,0.66503,0.54001,0.59154,0.40675,0.58542,0.5758,0.59171,0.39333,1.02012,1.6832,1.01052,1.11943,0,0.00120491,0.00120491,0.00120491
16,4388.91,0.98119,1.44018,0.9242,1.07756,0,0.63729,0.64063,0.60171,0.41294,0.63227,0.64841,0.59359,0.404,1.02093,1.69841,0.9381,1.16182,0,0.0011719,0.0011719,0.0011719
17,4635.95,0.9815,1.40832,0.92796,1.09042,0,0.62339,0.67016,0.62461,0.43842,0.62736,0.67679,0.61931,0.41497,1.02152,1.70959,0.91112,1.12728,0,0.00113889,0.00113889,0.00113889
18,4895.3,0.93353,1.42784,0.90663,1.06576,0,0.70355,0.5532,0.62399,0.42155,0.70355,0.5532,0.62072,0.40681,1.02964,1.64069,0.99557,1.14877,0,0.00110589,0.00110589,0.00110589
19,5140.81,0.95956,1.42331,0.90527,1.06446,0,0.77882,0.58014,0.67004,0.45103,0.77421,0.57222,0.65862,0.42582,0.99094,1.54769,0.92683,1.1003,0,0.00107288,0.00107288,0.00107288
